Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
4,,League Average,27.3,,,41,41,0.00,0.00,0.00,106.3,106.3,,95.1,.315,.117,.528,NA,.485,14.3,32.2,.232,NA,.485,14.3,67.8,.232,NA,,"664,663","16,274"
5,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
5,1,Utah Jazz*,29.6,60,22,61,21,7.99,-0.23,7.76,114.3,105.7,+8.6,92.6,.392,.126,.587,NA,.535,14.8,29.1,.306,NA,.496,15.5,72.5,.292,NA,Delta Center,"811,159","19,784"
5,2,Seattle SuperSonics*,28.7,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,+8.5,95.5,.380,.194,.575,NA,.527,14.1,32.6,.288,NA,.492,16.1,68.7,.278,NA,Tacoma Dome,"633,604","15,454"
5,3,Orlando Magic*,26.6,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,+7.3,95.1,.357,.205,.569,NA,.539,14.0,34.0,.239,NA,.490,13.3,68.4,.220,NA,Orlando Arena,"656,410","16,010"
5,4,San Antonio Spurs*,29.0,62,20,57,25,5.96,-0.06,5.90,111.7,105.4,+6.3,94.6,.372,.173,.562,NA,.516,13.8,30.9,.275,NA,.485,13.0,72.3,.214,NA,Alamodome,"920,413","22,449"
5,5,Chicago Bulls*,28.1,47,35,54,28,4.83,-0.51,4.32,109.5,104.3,+5.2,92.0,.308,.177,.546,NA,.509,14.5,32.9,.224,NA,.488,16.7,68.2,.263,NA,United Center,"926,218","22,591"
5,6,Phoenix Suns*,29.2,59,23,51,31,3.88,-0.02,3.86,114.5,110.4,+4.1,95.9,.338,.227,.567,NA,.524,12.7,29.7,.255,NA,.515,14.0,69.8,.228,NA,America West Arena,"779,943","19,023"
5,7,Portland Trail Blazers*,29.3,44,38,52,30,3.82,-0.02,3.80,109.7,105.7,+4.0,93.8,.313,.177,.521,NA,.483,13.0,37.1,.218,NA,.491,14.8,73.5,.277,NA,Memorial Coliseum,"529,759","12,888"
5,8,Indiana Pacers*,28.7,52,30,52,30,3.70,-0.34,3.35,109.6,105.6,+4.0,90.0,.383,.158,.557,NA,.507,15.5,32.8,.287,NA,.493,15.8,68.6,.237,NA,Market Square Arena,"654,428","15,962"
5,9,Charlotte Hornets*,28.0,50,32,50,32,3.28,-0.41,2.87,109.6,106.1,+3.5,91.2,.317,.219,.562,NA,.517,14.3,26.0,.247,NA,.485,13.8,68.5,.202,NA,Charlotte Coliseum,"971,618","23,698"
